ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Type
GO:0045927	positive regulation of growth	2/41	256/18870	0,106571404	0,225365477	0,171373021	23327/4851	2	BP
GO:0006110	regulation of glycolytic process	1/41	52/18870	0,107081337	0,225365477	0,171373021	26137	1	BP
GO:0035306	positive regulation of dephosphorylation	1/41	52/18870	0,107081337	0,225365477	0,171373021	5159	1	BP
GO:0045332	phospholipid translocation	1/41	52/18870	0,107081337	0,225365477	0,171373021	4363	1	BP
GO:0051180	vitamin transport	1/41	52/18870	0,107081337	0,225365477	0,171373021	4363	1	BP
GO:0101023	vascular endothelial cell proliferation	1/41	52/18870	0,107081337	0,225365477	0,171373021	2260	1	BP
GO:1901570	fatty acid derivative biosynthetic process	1/41	52/18870	0,107081337	0,225365477	0,171373021	31	1	BP
GO:1905562	regulation of vascular endothelial cell proliferation	1/41	52/18870	0,107081337	0,225365477	0,171373021	2260	1	BP
GO:0006164	purine nucleotide biosynthetic process	2/41	258/18870	0,107959055	0,226081002	0,171917122	31/498	2	BP
GO:0009636	response to toxic substance	2/41	258/18870	0,107959055	0,226081002	0,171917122	83990/4583	2	BP
GO:0032886	regulation of microtubule-based process	2/41	258/18870	0,107959055	0,226081002	0,171917122	672/64147	2	BP
GO:0007129	homologous chromosome pairing at meiosis	1/41	53/18870	0,109026797	0,226081002	0,171917122	83990	1	BP
GO:0035315	hair cell differentiation	1/41	53/18870	0,109026797	0,226081002	0,171917122	4851	1	BP
GO:0044818	mitotic G2/M transition checkpoint	1/41	53/18870	0,109026797	0,226081002	0,171917122	672	1	BP
GO:0086002	cardiac muscle cell action potential involved in contraction	1/41	53/18870	0,109026797	0,226081002	0,171917122	23327	1	BP
GO:0090175	regulation of establishment of planar polarity	1/41	53/18870	0,109026797	0,226081002	0,171917122	51339	1	BP
GO:1902692	regulation of neuroblast proliferation	1/41	53/18870	0,109026797	0,226081002	0,171917122	4851	1	BP
GO:1904645	response to amyloid-beta	1/41	53/18870	0,109026797	0,226081002	0,171917122	4363	1	BP
GO:1904894	positive regulation of receptor signaling pathway via STAT	1/41	53/18870	0,109026797	0,226081002	0,171917122	4851	1	BP
GO:0071695	anatomical structure maturation	2/41	261/18870	0,110049821	0,227066869	0,172666798	675/1080	2	BP
GO:0048762	mesenchymal cell differentiation	2/41	262/18870	0,110749186	0,227066869	0,172666798	2260/4851	2	BP
GO:0060828	regulation of canonical Wnt signaling pathway	2/41	262/18870	0,110749186	0,227066869	0,172666798	51339/4851	2	BP
GO:0002639	positive regulation of immunoglobulin production	1/41	54/18870	0,110968121	0,227066869	0,172666798	4436	1	BP
GO:0009395	phospholipid catabolic process	1/41	54/18870	0,110968121	0,227066869	0,172666798	283748	1	BP
GO:0030520	intracellular estrogen receptor signaling pathway	1/41	54/18870	0,110968121	0,227066869	0,172666798	672	1	BP
GO:0046605	regulation of centrosome cycle	1/41	54/18870	0,110968121	0,227066869	0,172666798	672	1	BP
GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	1/41	54/18870	0,110968121	0,227066869	0,172666798	1080	1	BP
GO:0070169	positive regulation of biomineral tissue development	1/41	54/18870	0,110968121	0,227066869	0,172666798	1080	1	BP
GO:0086009	membrane repolarization	1/41	54/18870	0,110968121	0,227066869	0,172666798	23327	1	BP
GO:0002204	somatic recombination of immunoglobulin genes involved in immune response	1/41	55/18870	0,112905319	0,228614822	0,173843897	4436	1	BP
GO:0002208	somatic diversification of immunoglobulins involved in immune response	1/41	55/18870	0,112905319	0,228614822	0,173843897	4436	1	BP
GO:0007140	male meiotic nuclear division	1/41	55/18870	0,112905319	0,228614822	0,173843897	675	1	BP
GO:0018393	internal peptidyl-lysine acetylation	1/41	55/18870	0,112905319	0,228614822	0,173843897	672	1	BP
GO:0034381	plasma lipoprotein particle clearance	1/41	55/18870	0,112905319	0,228614822	0,173843897	7436	1	BP
GO:0042304	regulation of fatty acid biosynthetic process	1/41	55/18870	0,112905319	0,228614822	0,173843897	672	1	BP
GO:0045190	isotype switching	1/41	55/18870	0,112905319	0,228614822	0,173843897	4436	1	BP
GO:0060632	regulation of microtubule-based movement	1/41	55/18870	0,112905319	0,228614822	0,173843897	64147	1	BP
GO:0072522	purine-containing compound biosynthetic process	2/41	267/18870	0,114263973	0,231063831	0,175706178	31/498	2	BP
GO:0030857	negative regulation of epithelial cell differentiation	1/41	56/18870	0,114838398	0,231620675	0,176129615	4851	1	BP
GO:0061097	regulation of protein tyrosine kinase activity	1/41	56/18870	0,114838398	0,231620675	0,176129615	2065	1	BP
GO:0034204	lipid translocation	1/41	57/18870	0,116767367	0,233987906	0,177929712	4363	1	BP
GO:0042733	embryonic digit morphogenesis	1/41	57/18870	0,116767367	0,233987906	0,177929712	4851	1	BP
GO:0061005	cell differentiation involved in kidney development	1/41	57/18870	0,116767367	0,233987906	0,177929712	4851	1	BP
GO:0072132	mesenchyme morphogenesis	1/41	57/18870	0,116767367	0,233987906	0,177929712	4851	1	BP
GO:1901016	regulation of potassium ion transmembrane transporter activity	1/41	57/18870	0,116767367	0,233987906	0,177929712	23327	1	BP
GO:0032409	regulation of transporter activity	2/41	271/18870	0,117096864	0,234345017	0,178201267	1080/23327	2	BP
GO:0110053	regulation of actin filament organization	2/41	273/18870	0,118520154	0,235107765	0,178781277	6712/6708	2	BP
GO:0003229	ventricular cardiac muscle tissue development	1/41	58/18870	0,118692235	0,235107765	0,178781277	4851	1	BP
GO:0006475	internal protein amino acid acetylation	1/41	58/18870	0,118692235	0,235107765	0,178781277	672	1	BP
GO:0033866	nucleoside bisphosphate biosynthetic process	1/41	58/18870	0,118692235	0,235107765	0,178781277	31	1	BP
GO:0034030	ribonucleoside bisphosphate biosynthetic process	1/41	58/18870	0,118692235	0,235107765	0,178781277	31	1	BP
GO:0034033	purine nucleoside bisphosphate biosynthetic process	1/41	58/18870	0,118692235	0,235107765	0,178781277	31	1	BP
GO:0048008	platelet-derived growth factor receptor signaling pathway	1/41	58/18870	0,118692235	0,235107765	0,178781277	5159	1	BP
GO:0070231	T cell apoptotic process	1/41	58/18870	0,118692235	0,235107765	0,178781277	11200	1	BP
GO:0007611	learning or memory	2/41	274/18870	0,119233481	0,235878241	0,179367165	3710/7436	2	BP
GO:0010574	regulation of vascular endothelial growth factor production	1/41	59/18870	0,12061301	0,236194124	0,17960737	672	1	BP
GO:0010718	positive regulation of epithelial to mesenchymal transition	1/41	59/18870	0,12061301	0,236194124	0,17960737	4851	1	BP
GO:0032608	interferon-beta production	1/41	59/18870	0,12061301	0,236194124	0,17960737	26137	1	BP
GO:0032648	regulation of interferon-beta production	1/41	59/18870	0,12061301	0,236194124	0,17960737	26137	1	BP
GO:0046579	positive regulation of Ras protein signal transduction	1/41	59/18870	0,12061301	0,236194124	0,17960737	4851	1	BP
GO:0051289	protein homotetramerization	1/41	59/18870	0,12061301	0,236194124	0,17960737	31	1	BP
GO:0060038	cardiac muscle cell proliferation	1/41	59/18870	0,12061301	0,236194124	0,17960737	4851	1	BP
GO:0071168	protein localization to chromatin	1/41	59/18870	0,12061301	0,236194124	0,17960737	4436	1	BP
GO:0051402	neuron apoptotic process	2/41	278/18870	0,122097827	0,236951943	0,180183632	4436/2065	2	BP
GO:0002011	morphogenesis of an epithelial sheet	1/41	60/18870	0,1225297	0,236951943	0,180183632	4851	1	BP
GO:0002381	immunoglobulin production involved in immunoglobulin-mediated immune response	1/41	60/18870	0,1225297	0,236951943	0,180183632	4436	1	BP
GO:0006695	cholesterol biosynthetic process	1/41	60/18870	0,1225297	0,236951943	0,180183632	1080	1	BP
GO:0042908	xenobiotic transport	1/41	60/18870	0,1225297	0,236951943	0,180183632	4363	1	BP
GO:0045604	regulation of epidermal cell differentiation	1/41	60/18870	0,1225297	0,236951943	0,180183632	4851	1	BP
GO:0051785	positive regulation of nuclear division	1/41	60/18870	0,1225297	0,236951943	0,180183632	5159	1	BP
GO:0071384	cellular response to corticosteroid stimulus	1/41	60/18870	0,1225297	0,236951943	0,180183632	498	1	BP
GO:1902305	regulation of sodium ion transmembrane transport	1/41	60/18870	0,1225297	0,236951943	0,180183632	23327	1	BP
GO:1902653	secondary alcohol biosynthetic process	1/41	60/18870	0,1225297	0,236951943	0,180183632	1080	1	BP
GO:0031668	cellular response to extracellular stimulus	2/41	281/18870	0,124257455	0,238565775	0,181410827	83990/1030	2	BP
GO:0003179	heart valve morphogenesis	1/41	61/18870	0,124442315	0,238565775	0,181410827	4851	1	BP
GO:0010921	regulation of phosphatase activity	1/41	61/18870	0,124442315	0,238565775	0,181410827	5159	1	BP
GO:0019755	one-carbon compound transport	1/41	61/18870	0,124442315	0,238565775	0,181410827	1080	1	BP
GO:0032092	positive regulation of protein binding	1/41	61/18870	0,124442315	0,238565775	0,181410827	51339	1	BP
GO:0048599	oocyte development	1/41	61/18870	0,124442315	0,238565775	0,181410827	675	1	BP
GO:0055008	cardiac muscle tissue morphogenesis	1/41	61/18870	0,124442315	0,238565775	0,181410827	4851	1	BP
GO:0022617	extracellular matrix disassembly	1/41	62/18870	0,126350862	0,241175856	0,183395592	64147	1	BP
GO:0097035	regulation of membrane lipid distribution	1/41	62/18870	0,126350862	0,241175856	0,183395592	4363	1	BP
GO:1903053	regulation of extracellular matrix organization	1/41	62/18870	0,126350862	0,241175856	0,183395592	4851	1	BP
GO:1901873	regulation of post-translational protein modification	2/41	284/18870	0,126426595	0,241175856	0,183395592	672/57697	2	BP
GO:0061448	connective tissue development	2/41	285/18870	0,127151719	0,241982385	0,184008895	5159/4851	2	BP
GO:0051258	protein polymerization	2/41	286/18870	0,12787787	0,241982385	0,184008895	6712/6708	2	BP
GO:0010573	vascular endothelial growth factor production	1/41	63/18870	0,128255351	0,241982385	0,184008895	672	1	BP
GO:0016447	somatic recombination of immunoglobulin gene segments	1/41	63/18870	0,128255351	0,241982385	0,184008895	4436	1	BP
GO:0021545	cranial nerve development	1/41	63/18870	0,128255351	0,241982385	0,184008895	2065	1	BP
GO:0043470	regulation of carbohydrate catabolic process	1/41	63/18870	0,128255351	0,241982385	0,184008895	26137	1	BP
GO:0060113	inner ear receptor cell differentiation	1/41	63/18870	0,128255351	0,241982385	0,184008895	4851	1	BP
GO:0071715	icosanoid transport	1/41	63/18870	0,128255351	0,241982385	0,184008895	4363	1	BP
GO:2000179	positive regulation of neural precursor cell proliferation	1/41	63/18870	0,128255351	0,241982385	0,184008895	4851	1	BP
GO:0010721	negative regulation of cell development	2/41	287/18870	0,128605039	0,242346966	0,18428613	1030/4851	2	BP
GO:0002712	regulation of B cell mediated immunity	1/41	64/18870	0,130155788	0,242612895	0,184488349	4436	1	BP
GO:0002889	regulation of immunoglobulin mediated immune response	1/41	64/18870	0,130155788	0,242612895	0,184488349	4436	1	BP
GO:0031100	animal organ regeneration	1/41	64/18870	0,130155788	0,242612895	0,184488349	4851	1	BP
GO:0035773	insulin secretion involved in cellular response to glucose stimulus	1/41	64/18870	0,130155788	0,242612895	0,184488349	1080	1	BP
GO:0043462	regulation of ATP-dependent activity	1/41	64/18870	0,130155788	0,242612895	0,184488349	4436	1	BP
GO:0046530	photoreceptor cell differentiation	1/41	64/18870	0,130155788	0,242612895	0,184488349	4851	1	BP
GO:0048278	vesicle docking	1/41	64/18870	0,130155788	0,242612895	0,184488349	1080	1	BP
GO:0048524	positive regulation of viral process	1/41	64/18870	0,130155788	0,242612895	0,184488349	4851	1	BP
GO:0048814	regulation of dendrite morphogenesis	1/41	64/18870	0,130155788	0,242612895	0,184488349	23327	1	BP
GO:0001947	heart looping	1/41	65/18870	0,132052184	0,243510515	0,185170919	4851	1	BP
GO:0009994	oocyte differentiation	1/41	65/18870	0,132052184	0,243510515	0,185170919	675	1	BP
GO:0010812	negative regulation of cell-substrate adhesion	1/41	65/18870	0,132052184	0,243510515	0,185170919	4851	1	BP
GO:0045668	negative regulation of osteoblast differentiation	1/41	65/18870	0,132052184	0,243510515	0,185170919	4851	1	BP
GO:0046503	glycerolipid catabolic process	1/41	65/18870	0,132052184	0,243510515	0,185170919	283748	1	BP
GO:0055021	regulation of cardiac muscle tissue growth	1/41	65/18870	0,132052184	0,243510515	0,185170919	4851	1	BP
GO:0060042	retina morphogenesis in camera-type eye	1/41	65/18870	0,132052184	0,243510515	0,185170919	4851	1	BP
GO:0070192	chromosome organization involved in meiotic cell cycle	1/41	65/18870	0,132052184	0,243510515	0,185170919	83990	1	BP
GO:0070936	protein K48-linked ubiquitination	1/41	65/18870	0,132052184	0,243510515	0,185170919	23327	1	BP
GO:0001756	somitogenesis	1/41	66/18870	0,133944545	0,244958797	0,186272225	4851	1	BP
GO:0017156	calcium-ion regulated exocytosis	1/41	66/18870	0,133944545	0,244958797	0,186272225	4851	1	BP
GO:0030219	megakaryocyte differentiation	1/41	66/18870	0,133944545	0,244958797	0,186272225	1030	1	BP
GO:0044458	motile cilium assembly	1/41	66/18870	0,133944545	0,244958797	0,186272225	255101	1	BP
GO:0045682	regulation of epidermis development	1/41	66/18870	0,133944545	0,244958797	0,186272225	4851	1	BP
GO:0050909	sensory perception of taste	1/41	66/18870	0,133944545	0,244958797	0,186272225	3710	1	BP
GO:0061180	mammary gland epithelium development	1/41	66/18870	0,133944545	0,244958797	0,186272225	675	1	BP
GO:0009165	nucleotide biosynthetic process	2/41	295/18870	0,134458165	0,245608134	0,186765996	31/498	2	BP
GO:0001655	urogenital system development	1/41	67/18870	0,135832882	0,24569112	0,186829101	4851	1	BP
GO:0010611	regulation of cardiac muscle hypertrophy	1/41	67/18870	0,135832882	0,24569112	0,186829101	4851	1	BP
GO:0010972	negative regulation of G2/M transition of mitotic cell cycle	1/41	67/18870	0,135832882	0,24569112	0,186829101	672	1	BP
GO:0016126	sterol biosynthetic process	1/41	67/18870	0,135832882	0,24569112	0,186829101	1080	1	BP
GO:0042776	proton motive force-driven mitochondrial ATP synthesis	1/41	67/18870	0,135832882	0,24569112	0,186829101	498	1	BP
GO:0048645	animal organ formation	1/41	67/18870	0,135832882	0,24569112	0,186829101	4851	1	BP
GO:0051057	positive regulation of small GTPase mediated signal transduction	1/41	67/18870	0,135832882	0,24569112	0,186829101	4851	1	BP
GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	2/41	297/18870	0,13593111	0,24569112	0,186829101	1030/4851	2	BP
GO:1901293	nucleoside phosphate biosynthetic process	2/41	297/18870	0,13593111	0,24569112	0,186829101	31/498	2	BP
GO:0001666	response to hypoxia	2/41	298/18870	0,136668992	0,246332499	0,18731682	83990/4851	2	BP
GO:0016445	somatic diversification of immunoglobulins	1/41	68/18870	0,137717201	0,246332499	0,18731682	4436	1	BP
GO:0018394	peptidyl-lysine acetylation	1/41	68/18870	0,137717201	0,246332499	0,18731682	672	1	BP
GO:0034394	protein localization to cell surface	1/41	68/18870	0,137717201	0,246332499	0,18731682	23327	1	BP
GO:0035567	non-canonical Wnt signaling pathway	1/41	68/18870	0,137717201	0,246332499	0,18731682	51339	1	BP
GO:0042490	mechanoreceptor differentiation	1/41	68/18870	0,137717201	0,246332499	0,18731682	4851	1	BP
GO:0051055	negative regulation of lipid biosynthetic process	1/41	68/18870	0,137717201	0,246332499	0,18731682	672	1	BP
GO:0051865	protein autoubiquitination	1/41	68/18870	0,137717201	0,246332499	0,18731682	672	1	BP
GO:2000379	positive regulation of reactive oxygen species metabolic process	1/41	68/18870	0,137717201	0,246332499	0,18731682	5159	1	BP
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	1/41	69/18870	0,139597511	0,248833768	0,189218842	9924	1	BP
GO:0043627	response to estrogen	1/41	69/18870	0,139597511	0,248833768	0,189218842	672	1	BP
GO:2000573	positive regulation of DNA biosynthetic process	1/41	69/18870	0,139597511	0,248833768	0,189218842	5159	1	BP
GO:0001736	establishment of planar polarity	1/41	70/18870	0,141473821	0,249593335	0,189796434	51339	1	BP
GO:0007164	establishment of tissue polarity	1/41	70/18870	0,141473821	0,249593335	0,189796434	51339	1	BP
GO:0009311	oligosaccharide metabolic process	1/41	70/18870	0,141473821	0,249593335	0,189796434	55808	1	BP
GO:0014743	regulation of muscle hypertrophy	1/41	70/18870	0,141473821	0,249593335	0,189796434	4851	1	BP
GO:0030514	negative regulation of BMP signaling pathway	1/41	70/18870	0,141473821	0,249593335	0,189796434	4851	1	BP
GO:0050922	negative regulation of chemotaxis	1/41	70/18870	0,141473821	0,249593335	0,189796434	4851	1	BP
GO:0051148	negative regulation of muscle cell differentiation	1/41	70/18870	0,141473821	0,249593335	0,189796434	4851	1	BP
GO:0061371	determination of heart left/right asymmetry	1/41	70/18870	0,141473821	0,249593335	0,189796434	4851	1	BP
GO:1902750	negative regulation of cell cycle G2/M phase transition	1/41	70/18870	0,141473821	0,249593335	0,189796434	672	1	BP
GO:0051146	striated muscle cell differentiation	2/41	305/18870	0,141859793	0,249989556	0,190097729	5159/4851	2	BP
GO:0003143	embryonic heart tube morphogenesis	1/41	71/18870	0,143346139	0,250896236	0,190787189	4851	1	BP
GO:0003208	cardiac ventricle morphogenesis	1/41	71/18870	0,143346139	0,250896236	0,190787189	4851	1	BP
GO:0030239	myofibril assembly	1/41	71/18870	0,143346139	0,250896236	0,190787189	5159	1	BP
GO:0042698	ovulation cycle	1/41	71/18870	0,143346139	0,250896236	0,190787189	4851	1	BP
GO:0045911	positive regulation of DNA recombination	1/41	71/18870	0,143346139	0,250896236	0,190787189	4436	1	BP
GO:0060420	regulation of heart growth	1/41	71/18870	0,143346139	0,250896236	0,190787189	4851	1	BP
GO:0002562	somatic diversification of immune receptors via germline recombination within a single locus	1/41	72/18870	0,145214472	0,251488011	0,191237189	4436	1	BP
GO:0014015	positive regulation of gliogenesis	1/41	72/18870	0,145214472	0,251488011	0,191237189	4851	1	BP
GO:0014823	response to activity	1/41	72/18870	0,145214472	0,251488011	0,191237189	498	1	BP
GO:0016444	somatic cell DNA recombination	1/41	72/18870	0,145214472	0,251488011	0,191237189	4436	1	BP
GO:0032481	positive regulation of type I interferon production	1/41	72/18870	0,145214472	0,251488011	0,191237189	26137	1	BP
GO:0060411	cardiac septum morphogenesis	1/41	72/18870	0,145214472	0,251488011	0,191237189	4851	1	BP
GO:0099518	vesicle cytoskeletal trafficking	1/41	72/18870	0,145214472	0,251488011	0,191237189	1780	1	BP
GO:0019932	second-messenger-mediated signaling	2/41	310/18870	0,145594039	0,251488011	0,191237189	5159/2065	2	BP
GO:0034504	protein localization to nucleus	2/41	310/18870	0,145594039	0,251488011	0,191237189	79711/4851	2	BP
GO:0002067	glandular epithelial cell differentiation	1/41	73/18870	0,147078831	0,251488011	0,191237189	4851	1	BP
GO:0003170	heart valve development	1/41	73/18870	0,147078831	0,251488011	0,191237189	4851	1	BP
GO:0009247	glycolipid biosynthetic process	1/41	73/18870	0,147078831	0,251488011	0,191237189	284098	1	BP
GO:0032413	negative regulation of ion transmembrane transporter activity	1/41	73/18870	0,147078831	0,251488011	0,191237189	23327	1	BP
GO:0033143	regulation of intracellular steroid hormone receptor signaling pathway	1/41	73/18870	0,147078831	0,251488011	0,191237189	672	1	BP
GO:0035914	skeletal muscle cell differentiation	1/41	73/18870	0,147078831	0,251488011	0,191237189	4851	1	BP
GO:0045661	regulation of myoblast differentiation	1/41	73/18870	0,147078831	0,251488011	0,191237189	4851	1	BP
GO:0045665	negative regulation of neuron differentiation	1/41	73/18870	0,147078831	0,251488011	0,191237189	4851	1	BP
GO:0048663	neuron fate commitment	1/41	73/18870	0,147078831	0,251488011	0,191237189	4851	1	BP
GO:0055002	striated muscle cell development	1/41	73/18870	0,147078831	0,251488011	0,191237189	5159	1	BP
GO:0140962	multicellular organismal-level chemical homeostasis	1/41	73/18870	0,147078831	0,251488011	0,191237189	1080	1	BP
GO:0007162	negative regulation of cell adhesion	2/41	312/18870	0,147093698	0,251488011	0,191237189	2065/4851	2	BP
GO:0070372	regulation of ERK1 and ERK2 cascade	2/41	313/18870	0,147844777	0,25249345	0,192001747	5159/4851	2	BP
GO:0001822	kidney development	2/41	314/18870	0,14859668	0,25349808	0,19276569	5159/4851	2	BP
GO:0003281	ventricular septum development	1/41	74/18870	0,148939222	0,253524016	0,192785412	4851	1	BP
GO:0060415	muscle tissue morphogenesis	1/41	74/18870	0,148939222	0,253524016	0,192785412	4851	1	BP
GO:0036293	response to decreased oxygen levels	2/41	315/18870	0,149349399	0,25394316	0,193104139	83990/4851	2	BP
GO:0060070	canonical Wnt signaling pathway	2/41	316/18870	0,150102929	0,254944557	0,193865624	51339/4851	2	BP
GO:0042246	tissue regeneration	1/41	75/18870	0,150795653	0,255385681	0,194201065	4851	1	BP
GO:0043588	skin development	2/41	317/18870	0,150857261	0,255385681	0,194201065	388697/4851	2	BP
GO:0050890	cognition	2/41	317/18870	0,150857261	0,255385681	0,194201065	3710/7436	2	BP
GO:0009416	response to light stimulus	2/41	318/18870	0,151612391	0,256383835	0,194960084	675/4436	2	BP
GO:0005977	glycogen metabolic process	1/41	76/18870	0,152648134	0,256733941	0,195226313	8987	1	BP
GO:0015986	proton motive force-driven ATP synthesis	1/41	76/18870	0,152648134	0,256733941	0,195226313	498	1	BP
GO:0051145	smooth muscle cell differentiation	1/41	76/18870	0,152648134	0,256733941	0,195226313	4851	1	BP
GO:0086001	cardiac muscle cell action potential	1/41	76/18870	0,152648134	0,256733941	0,195226313	23327	1	BP
GO:0086003	cardiac muscle cell contraction	1/41	76/18870	0,152648134	0,256733941	0,195226313	23327	1	BP
GO:0030198	extracellular matrix organization	2/41	321/18870	0,153882489	0,257845534	0,196071593	64147/4851	2	BP
GO:0001937	negative regulation of endothelial cell proliferation	1/41	77/18870	0,154496672	0,257845534	0,196071593	498	1	BP
GO:0002260	lymphocyte homeostasis	1/41	77/18870	0,154496672	0,257845534	0,196071593	6708	1	BP
GO:0002637	regulation of immunoglobulin production	1/41	77/18870	0,154496672	0,257845534	0,196071593	4436	1	BP
GO:0032091	negative regulation of protein binding	1/41	77/18870	0,154496672	0,257845534	0,196071593	51339	1	BP
GO:0035304	regulation of protein dephosphorylation	1/41	77/18870	0,154496672	0,257845534	0,196071593	5159	1	BP
GO:0043062	extracellular structure organization	2/41	322/18870	0,154640737	0,257845534	0,196071593	64147/4851	2	BP
GO:0044403	biological process involved in symbiotic interaction	2/41	322/18870	0,154640737	0,257845534	0,196071593	4583/55808	2	BP
GO:0072001	renal system development	2/41	324/18870	0,156159514	0,259008168	0,196955686	5159/4851	2	BP
GO:0002200	somatic diversification of immune receptors	1/41	78/18870	0,156341276	0,259008168	0,196955686	4436	1	BP
GO:0044042	glucan metabolic process	1/41	78/18870	0,156341276	0,259008168	0,196955686	8987	1	BP
GO:0045921	positive regulation of exocytosis	1/41	78/18870	0,156341276	0,259008168	0,196955686	1080	1	BP
GO:1901568	fatty acid derivative metabolic process	1/41	78/18870	0,156341276	0,259008168	0,196955686	31	1	BP
GO:2000736	regulation of stem cell differentiation	1/41	78/18870	0,156341276	0,259008168	0,196955686	4851	1	BP
GO:0045685	regulation of glial cell differentiation	1/41	79/18870	0,158181953	0,261777613	0,199061635	4851	1	BP
GO:0008202	steroid metabolic process	2/41	327/18870	0,158443284	0,261930254	0,199177706	1080/7436	2	BP
GO:0048638	regulation of developmental growth	2/41	328/18870	0,15920601	0,262633316	0,199712331	23327/4851	2	BP
GO:0002437	inflammatory response to antigenic stimulus	1/41	80/18870	0,160018712	0,262633316	0,199712331	4851	1	BP
GO:0003407	neural retina development	1/41	80/18870	0,160018712	0,262633316	0,199712331	4851	1	BP
GO:0043537	negative regulation of blood vessel endothelial cell migration	1/41	80/18870	0,160018712	0,262633316	0,199712331	4851	1	BP
GO:0051899	membrane depolarization	1/41	80/18870	0,160018712	0,262633316	0,199712331	23327	1	BP
GO:0090049	regulation of cell migration involved in sprouting angiogenesis	1/41	80/18870	0,160018712	0,262633316	0,199712331	4851	1	BP
GO:0006913	nucleocytoplasmic transport	2/41	330/18870	0,160733624	0,262633316	0,199712331	79711/4851	2	BP
GO:0021700	developmental maturation	2/41	330/18870	0,160733624	0,262633316	0,199712331	675/1080	2	BP
GO:0048545	response to steroid hormone	2/41	330/18870	0,160733624	0,262633316	0,199712331	672/498	2	BP
GO:0051169	nuclear transport	2/41	330/18870	0,160733624	0,262633316	0,199712331	79711/4851	2	BP
GO:0051251	positive regulation of lymphocyte activation	2/41	330/18870	0,160733624	0,262633316	0,199712331	4436/6708	2	BP
GO:0003151	outflow tract morphogenesis	1/41	81/18870	0,161851561	0,262796718	0,199836585	4851	1	BP
GO:0007405	neuroblast proliferation	1/41	81/18870	0,161851561	0,262796718	0,199836585	4851	1	BP
GO:0007422	peripheral nervous system development	1/41	81/18870	0,161851561	0,262796718	0,199836585	2065	1	BP
GO:0042440	pigment metabolic process	1/41	81/18870	0,161851561	0,262796718	0,199836585	4363	1	BP
GO:0045913	positive regulation of carbohydrate metabolic process	1/41	81/18870	0,161851561	0,262796718	0,199836585	26137	1	BP
GO:0048644	muscle organ morphogenesis	1/41	81/18870	0,161851561	0,262796718	0,199836585	4851	1	BP
GO:0016887	ATP hydrolysis activity	7/42	412/18496	3,55802E-05	0,006902561	0,004531795	4436/83990/4363/1080/57697/64147/498	7	MF
GO:0043225	ATPase-coupled inorganic anion transmembrane transporter activity	2/42	10/18496	0,000223925	0,021720728	0,014260489	4363/1080	2	MF
GO:0000400	four-way junction DNA binding	2/42	18/18496	0,000752621	0,048669493	0,031953384	4436/57697	2	MF
GO:0015631	tubulin binding	5/42	379/18496	0,001604917	0,052913755	0,034739904	675/672/9055/1780/64147	5	MF
GO:0005217	intracellular ligand-gated monoatomic ion channel activity	2/42	30/18496	0,002103183	0,052913755	0,034739904	1080/3710	2	MF
GO:0140097	catalytic activity, acting on DNA	4/42	248/18496	0,002367223	0,052913755	0,034739904	4436/83990/57697/116447	4	MF
GO:0008094	ATP-dependent activity, acting on DNA	3/42	122/18496	0,002664463	0,052913755	0,034739904	4436/83990/57697	3	MF
GO:0008200	ion channel inhibitor activity	2/42	34/18496	0,002696835	0,052913755	0,034739904	1080/23327	2	MF
GO:0004623	phospholipase A2 activity	2/42	35/18496	0,002856174	0,052913755	0,034739904	58986/283748	2	MF
GO:0016248	channel inhibitor activity	2/42	35/18496	0,002856174	0,052913755	0,034739904	1080/23327	2	MF
GO:0043531	ADP binding	2/42	38/18496	0,003360099	0,052913755	0,034739904	4436/498	2	MF
GO:0000217	DNA secondary structure binding	2/42	39/18496	0,003536645	0,052913755	0,034739904	4436/57697	2	MF
GO:0019838	growth factor binding	3/42	135/18496	0,003545767	0,052913755	0,034739904	2260/5159/2065	3	MF
GO:0019894	kinesin binding	2/42	44/18496	0,00448279	0,062118659	0,040783276	9055/64837	2	MF
GO:0140359	ABC-type transporter activity	2/42	48/18496	0,005314656	0,068736216	0,045127955	4363/1080	2	MF
GO:0003678	DNA helicase activity	2/42	58/18496	0,007677454	0,093089133	0,061116576	83990/57697	2	MF
GO:0004714	transmembrane receptor protein tyrosine kinase activity	2/42	60/18496	0,008197367	0,093546428	0,061416809	2260/5159	2	MF
GO:0038024	cargo receptor activity	2/42	64/18496	0,009283383	0,100054237	0,065689434	7436/8987	2	MF
GO:0003777	microtubule motor activity	2/42	68/18496	0,010430029	0,106496082	0,069918752	1780/64147	2	MF
GO:0003684	damaged DNA binding	2/42	71/18496	0,01132912	0,109892463	0,072148605	4436/672	2	MF
GO:0003724	RNA helicase activity	2/42	76/18496	0,012900696	0,117131592	0,076901371	83990/57697	2	MF
GO:0008186	ATP-dependent activity, acting on RNA	2/42	78/18496	0,013554504	0,117131592	0,076901371	83990/57697	2	MF
GO:0019199	transmembrane receptor protein kinase activity	2/42	79/18496	0,013886735	0,117131592	0,076901371	2260/5159	2	MF
